Lesson,Date,Done,Files,Homework
"8. Revision (Part%205/8%20Revision%20c81fb98ef466480d95a79a9f948a7bfc.html) ","November 27, 2024",Done,,1) Practice gerunds and infinitives https://www.perfect-english-grammar.com/gerunds-and-infinitives-exercise-1.html
"8. Revision (Part%205/8%20Revision%20c81fb98ef466480d95a79a9f948a7bfc.html) ","December 4, 2024",Done,,1) Practice conditionals https://www.perfect-english-grammar.com/first-second-third-conditionals-exercise.html
,"December 11, 2024",Done,,1) Take https://docs.google.com/forms/d/e/1FAIpQLScKOYO410ptnbMlNrQgnyVmzm-YaUhGqhkePMF3t8QCH1q4hQ/viewform?usp=sf_link
"1. Communication (Part%201/1%20Communication%2017515e0e4a0980bfb98ce5ab3ade9397.html) ","January 8, 2025",Done,,1) Choose a country and be ready to tell about their traditions in communication using the plan from ex. 6. Use new phrases!
"1. Communication (Part%201/1%20Communication%2017515e0e4a0980bfb98ce5ab3ade9397.html) ","January 15, 2025",Done,,1) Prepare a set of rules for people who want to communicate with people in Russia 🙂
"2. Question formation (Part%201/2%20Question%20formation%2018115e0e4a0980c0a902f0483450be30.html) ","January 29, 2025",Done,,"1) Navigate Upper Intermediate Unit 1.1 (Grammar) (Part%201/2%20Question%20formation/Navigate%20Upper%20Intermediate%20Unit%201%201%20(Grammar)%2018115e0e4a0980babb2cc89587e34323.html) 

2) Online practice 
https://test-english.com/grammar-points/b1-b2/questions-different-types/
https://test-english.com/grammar-points/b1-b2/questions-different-types/2/
https://test-english.com/grammar-points/b1-b2/questions-different-types/3/"
"2. Question formation (Part%201/2%20Question%20formation%2018115e0e4a0980c0a902f0483450be30.html) ","February 5, 2025",Done,,1) Complete ex. 5 Part%201/2%20Question%20formation%2018115e0e4a0980c0a902f0483450be30.html. Check yourself using the keys and choose 1 question from each category to discuss next time.
"3. Valentine’s Day (Part%201/3%20Valentine%E2%80%99s%20Day%2019815e0e4a09803e97b5f00d39adffa5.html) ","February 12, 2025",Done,,"Choose the task that you like the most and write 5-7 sentences
about it. Use at least four target vocabulary words from the lesson.

-  You are a social media influencer who loves astrology. Write a post about your zodiac sign. Share your favorite characteristics and how they impact your daily life
-  You have just read an article about zodiac signs and their impact on personality. Write a comment on the article, discussing whether you agree or disagree with the author's viewpoint
- Write a short social media post about your zodiac sign and how it matches with your best friend's partners sign."
"4. Personality (Part%201/4%20Personality%201a515e0e4a0980af8c2bc46e31d30869.html) ","February 26, 2025",Done,,"1) Speakout Workbook Upper-Intermediate 1.1 VOCABULARY (Part%201/4%20Personality/Speakout%20Workbook%20Upper-Intermediate%201%201%20VOCABULAR%201a515e0e4a0980b889afca48afa9ab70.html) 

3) Learn some more words about personality 
https://www.essentialenglish.review/apps/english-vocabulary-in-use-upper-intermediate/unit-8-describing-people-personality#7"
"4. Personality (Part%201/4%20Personality%201a515e0e4a0980af8c2bc46e31d30869.html) ","March 5, 2025",Done,,1) Choose one book/movie character and prepare their description. Prepare from 8 to 10 sentences and use at least 5 new words from the lesson
"5. Direct and indirect questions (Part%201/5%20Direct%20and%20indirect%20questions%201b415e0e4a0980f8b6dbf4f8f7731df7.html) ","March 12, 2025",Done,,"1) Online practice
https://test-english.com/grammar-points/b1-b2/indirect-questions/
https://test-english.com/grammar-points/b1-b2/indirect-questions/2/
https://test-english.com/grammar-points/b1-b2/indirect-questions/3/

2) Speakout Workbook 1.1 GRAMMAR (Part%201/5%20Direct%20and%20indirect%20questions/Speakout%20Workbook%201%201%20GRAMMAR%201b415e0e4a09807bbff9d8609426f2ad.html) "
"6. Questions no one knows the answers to (Part%201/6%20Questions%20no%20one%20knows%20the%20answers%20to%201ba15e0e4a09803d9e9ec1b4affb2217.html) ","March 20, 2025",Done,,1) Make the questions in Part%201/6%20Questions%20no%20one%20knows%20the%20answers%20to%201ba15e0e4a09803d9e9ec1b4affb2217.html indirect and try to give an answer to them
"7. Starting a conversation with a stranger + Auxiliaries (Part%201/7%20Starting%20a%20conversation%20with%20a%20stranger%20+%20Auxili%201c215e0e4a0980fbbc2fe84bafc53edb.html) ","March 27, 2025",Done,,1) Create 3 short conversations between strangers. Use new phrases from Part%201/7%20Starting%20a%20conversation%20with%20a%20stranger%20+%20Auxili%201c215e0e4a0980fbbc2fe84bafc53edb.html. I will guess where these conversations take place.
"7. Starting a conversation with a stranger + Auxiliaries (Part%201/7%20Starting%20a%20conversation%20with%20a%20stranger%20+%20Auxili%201c215e0e4a0980fbbc2fe84bafc53edb.html) ","April 2, 2025",Done,,"1) Online practice (uses of auxiliaries)
https://test-english.com/grammar-points/b1-b2/auxiliary-verbs-different-uses/
https://test-english.com/grammar-points/b1-b2/auxiliary-verbs-different-uses/2/
https://test-english.com/grammar-points/b1-b2/auxiliary-verbs-different-uses/3/


2) English File Workbook 1B (Part%201/7%20Starting%20a%20conversation%20with%20a%20stranger%20+%20Auxili/English%20File%20Workbook%201B%201c215e0e4a09807facfada86c1f5df74.html) "
"7. Starting a conversation with a stranger + Auxiliaries (Part%201/7%20Starting%20a%20conversation%20with%20a%20stranger%20+%20Auxili%201c215e0e4a0980fbbc2fe84bafc53edb.html) ","April 16, 2025",Done,,1) Create a dialogue with different uses of auxiliaries. You can find the topic for your dialolgue Part%201/7%20Starting%20a%20conversation%20with%20a%20stranger%20+%20Auxili%201c215e0e4a0980fbbc2fe84bafc53edb.html (you choose only one)
"8. Feelings (Part%201/8%20Feelings%201dd15e0e4a0980f6b5d6d892567e43f5.html) ","April 30, 2025",Done,,"1) Speakout Workbook Unit 1.2 VOCABULARY (Part%201/8%20Feelings/Speakout%20Workbook%20Unit%201%202%20VOCABULARY%201dd15e0e4a09800db91dec69de7812e0.html) "
"8. Feelings (Part%201/8%20Feelings%201dd15e0e4a0980f6b5d6d892567e43f5.html) ","May 7, 2025",Done,,"1) Remember a situation when you had to do something unusual or novel for you, e.g. gave a talk or jumped with parachute. Think about the following:
- why you did that
- how you felt when you did it
- do you think you’ll ever do it again or (maybe you have done it many times since then)"
"9. Present Perfect (Part%201/9%20Present%20Perfect%201f215e0e4a0980d8a30df5d5781411fb.html) ","May 14, 2025",50/50,,"1) Speakout Workbook 1.2 GRAMMAR (Part%201/9%20Present%20Perfect/Speakout%20Workbook%201%202%20GRAMMAR%201f215e0e4a098037853cf16c2590192e.html) 

2) Grammar in Use
Unit 7 https://www.essentialenglish.review/apps/english-grammar-in-use-with-answers/unit-7-present-perfect-1-i-have-done#6
Unit 8 https://www.essentialenglish.review/apps/english-grammar-in-use-with-answers/unit-8-present-perfect-2-i-have-done#7"
"9. Present Perfect (Part%201/9%20Present%20Perfect%201f215e0e4a0980d8a30df5d5781411fb.html) ","May 21, 2025",Done,,1) Prepare to talk about activities that are important to you. Use the plan in Part%201/9%20Present%20Perfect%201f215e0e4a0980d8a30df5d5781411fb.html. Think carefully about the tenses!
"10. Word building (nouns) (Part%201/10%20Word%20building%20(nouns)%201fb15e0e4a0980378de8e8dbc2942fca.html) ","May 28, 2025",Done,,"1) Speakout Wordbook 1.2 VOCABULARY PLUS + EXTRA WORDS   (Part%201/10%20Word%20building%20(nouns)/Speakout%20Wordbook%201%202%20VOCABULARY%20PLUS%20+%20EXTRA%20WORD%201fb15e0e4a098062bd13db9cd6638035.html) "
"12. Revision (Part%201/12%20Revision%2022015e0e4a0980499faccbc4e4d567a1.html) ","July 2, 2025",Done,,"1) English Grammar in Use Unit 50 (Part%201/12%20Revision/English%20Grammar%20in%20Use%20Unit%2050%2022515e0e4a0980a2b177e0ec84fc4e4e.html) "
"12. Revision (Part%201/12%20Revision%2022015e0e4a0980499faccbc4e4d567a1.html) ","July 9, 2025",Done,,1) Practice auxiliaries https://english-practice.net/english-grammar-exercises-auxiliary-verbs/
,"July 30, 2025",Done,,1) Complete the test https://docs.google.com/forms/d/e/1FAIpQLScshYrWJhiHlhHysLG8LnUzGrjjFK3xGY0ylENR5A9itQCNoA/viewform?usp=sf_link
"1. Issues (Part%202/1%20Issues%2024815e0e4a0980bdaa37cafa385e8dd1.html) ","August 13, 2025 → August 20, 2025",Done,,"1) Speakout Upper Unit 2.1 (Vocabulary) (Part%202/1%20Issues/Speakout%20Upper%20Unit%202%201%20(Vocabulary)%2024815e0e4a0980d098b2d70fc256585c.html) 

2) https://www.essentialenglish.review/apps/english-vocabulary-in-use-upper-intermediate/unit-13-global-problems#12"
"2. Present Perfect vs Present Perfect Continuous  (Part%202/2%20Present%20Perfect%20vs%20Present%20Perfect%20Continuous%2025415e0e4a0980cd8a1ee25aebd266d3.html) ","August 27, 2025",Done,,"1) Speakout 2nd Ed. Upper Workbook Unit 2.1 (Part%202/2%20Present%20Perfect%20vs%20Present%20Perfect%20Continuous/Speakout%202nd%20Ed%20Upper%20Workbook%20Unit%202%201%2025415e0e4a098060a2fbf031e791c209.html) 

2) Grammar in Use
Unit 9 https://www.essentialenglish.review/english-grammar-in-use-with-answers/
Unit 10 https://www.essentialenglish.review/apps/english-grammar-in-use-with-answers/unit-10-present-perfect-continuous-and-simple-i-have-been-doing-and-i-have-done#9"
"2. Present Perfect vs Present Perfect Continuous  (Part%202/2%20Present%20Perfect%20vs%20Present%20Perfect%20Continuous%2025415e0e4a0980cd8a1ee25aebd266d3.html) ","September 3, 2025",Done,,1) Look at the list of problems is Part%202/2%20Present%20Perfect%20vs%20Present%20Perfect%20Continuous%2025415e0e4a0980cd8a1ee25aebd266d3.html and think of thr problem that you think should win. Be ready to present your reason (come up with at least 3)
"3. Verbs/nouns with the same form (Part%202/3%20Verbs%20nouns%20with%20the%20same%20form%2026815e0e4a098040b170f345ab6c164d.html) ","September 17, 2025",Done,,"1) Do Part%202/3%20Verbs%20nouns%20with%20the%20same%20form%2026815e0e4a098040b170f345ab6c164d.html from the lesson

2) Speakout Upper-Intermediate Workbook Unit 2.1 VOCABULARY PLUS (Part%202/3%20Verbs%20nouns%20with%20the%20same%20form/Speakout%20Upper-Intermediate%20Workbook%20Unit%202%201%20VOCA%2026815e0e4a098092be55c69df120b038.html) "
"3. Verbs/nouns with the same form (Part%202/3%20Verbs%20nouns%20with%20the%20same%20form%2026815e0e4a098040b170f345ab6c164d.html) ","October 15, 2025",Done,,1) Create 5 pairs of sentences with verbs that can be used like nouns. Hide the words and prepare a test for me :)
"4. Expressing opinions and supporting your opinion (Part%202/4%20Expressing%20opinions%20and%20supporting%20your%20opinion%2027715e0e4a09802c882ce1c060163d93.html) ","October 22, 2025",Done,,"1) Do ex. 1 Part%202/4%20Expressing%20opinions%20and%20supporting%20your%20opinion%2027715e0e4a09802c882ce1c060163d93.html

2) Finish ex. 3 Part%202/4%20Expressing%20opinions%20and%20supporting%20your%20opinion%2027715e0e4a09802c882ce1c060163d93.html (Conversation 2) and think of your opinion on the topic. Be ready to share it!"
"4. Expressing opinions and supporting your opinion (Part%202/4%20Expressing%20opinions%20and%20supporting%20your%20opinion%2027715e0e4a09802c882ce1c060163d93.html) ","October 29, 2025",Done,,"1) Complete Part%202/4%20Expressing%20opinions%20and%20supporting%20your%20opinion%2027715e0e4a09802c882ce1c060163d93.html

2) Speakout Upper-Intermediate  Workbook Unit 2.3 (Part%202/4%20Expressing%20opinions%20and%20supporting%20your%20opinion/Speakout%20Upper-Intermediate%20Workbook%20Unit%202%203%2027715e0e4a09801b8e26e05694d5acaa.html) "
"4. Expressing opinions and supporting your opinion (Part%202/4%20Expressing%20opinions%20and%20supporting%20your%20opinion%2027715e0e4a09802c882ce1c060163d93.html) ","November 12, 2025",Done,,1) From Part%202/4%20Expressing%20opinions%20and%20supporting%20your%20opinion%2027715e0e4a09802c882ce1c060163d93.html choose 3 statements that you agree with and 3 statements you disagree with. Write short answers to each of them: your opinion + an argument to support it. Be ready to share your notes and thoughts with me next time 😊
"5. Moving (Part%202/5%20Moving%202b015e0e4a0980b1a068f39e5b595feb.html) ","November 19, 2025",Done,,"1) Vocabulary in Use Upper-Intermediate Units 31, 58
https://www.essentialenglish.review/apps/english-vocabulary-in-use-upper-intermediate/unit-31-travel#30
https://www.essentialenglish.review/apps/english-vocabulary-in-use-upper-intermediate/unit-58-movement-and-speed#57"
"6. Zero and first conditional, future clauses + Expressions with take (Part%202/6%20Zero%20and%20first%20conditional,%20future%20clauses%20+%20Exp%202b715e0e4a0980a982ced9f8bc4c9aed.html) ","December 3, 2025",Done,,"1) Online practice 
Exercise 1 https://test-english.com/grammar-points/b1-b2/zero-first-conditional-future-time-clauses/
Exercise 2 https://test-english.com/grammar-points/b1-b2/zero-first-conditional-future-time-clauses/2/
Exercise 3 https://test-english.com/grammar-points/b1-b2/zero-first-conditional-future-time-clauses/3/"
"6. Zero and first conditional, future clauses + Expressions with take (Part%202/6%20Zero%20and%20first%20conditional,%20future%20clauses%20+%20Exp%202b715e0e4a0980a982ced9f8bc4c9aed.html) ","December 17, 2025",Done,,"1) Oxford Living Grammar Upper-Intermediate Unit 18 (Part%202/6%20Zero%20and%20first%20conditional,%20future%20clauses%20+%20Exp/Oxford%20Living%20Grammar%20Upper-Intermediate%20Unit%2018%202b715e0e4a0980e7af2feb4a130d14c6.html) 

2) Complete Part%202/6%20Zero%20and%20first%20conditional,%20future%20clauses%20+%20Exp%202b715e0e4a0980a982ced9f8bc4c9aed.html (2-4) and form your opinion about each situation using 0 or 1 Conditional. Create 1-2 conditional sentence for each situation."
"6. Zero and first conditional, future clauses + Expressions with take (Part%202/6%20Zero%20and%20first%20conditional,%20future%20clauses%20+%20Exp%202b715e0e4a0980a982ced9f8bc4c9aed.html) ","January 11, 2026",Done,,1) Revisse new phrases from here Take (Vocabulary/Take%202e515e0e4a09808ca81ec3707a0d576b.html) and choose your favourite ones
"6. Zero and first conditional, future clauses + Expressions with take (Part%202/6%20Zero%20and%20first%20conditional,%20future%20clauses%20+%20Exp%202b715e0e4a0980a982ced9f8bc4c9aed.html) ","January 14, 2026",50/50,,"1) English File Workbook 4B GRAMMAR + VOCABULARY (Part%202/6%20Zero%20and%20first%20conditional,%20future%20clauses%20+%20Exp/English%20File%20Workbook%204B%20GRAMMAR%20+%20VOCABULARY%202b715e0e4a0980369640ca5efc3358b5.html) "
"8. Ways of comparing (Part%202/8%20Ways%20of%20comparing%202ef15e0e4a098077b958e7a06e6ba2e7.html) ","January 21, 2026",Done,,"1) Grammar in Use Advanced Unit 72 (Part%202/8%20Ways%20of%20comparing/Grammar%20in%20Use%20Advanced%20Unit%2072%202ef15e0e4a09805c9e92cf5ea53374d4.html) "
"8. Ways of comparing (Part%202/8%20Ways%20of%20comparing%202ef15e0e4a098077b958e7a06e6ba2e7.html) ","January 28, 2026",Done,,1) Here’s your homework: https://wordwall.net/resource/34682648/comparatives-thethe Complete the exercise from the lesson: you can write down the sentences and check them by flipping the cards. Be ready to didcudd them too.
"9. Good life (Part%202/9%20Good%20life%2030515e0e4a0980e98d16fa99f06bc61b.html) ","February 5, 2026",Done,,1) Complete the exercise https://wordwall.net/resource/54622211/happiness-so-int-plus-63
"9. Good life (Part%202/9%20Good%20life%2030515e0e4a0980e98d16fa99f06bc61b.html) ","February 12, 2026",Not started,,"1) Speakout Intermediate Plus Workbook Unit 6.3 VOCABULARY + Speakout Intermediate Plus Student Book Happiness (p. 125) (Part%202/9%20Good%20life/Speakout%20Intermediate%20Plus%20Workbook%20Unit%206%203%20VOCAB%2030515e0e4a0980d08b63c24848c33625.html) "
